[2025-04-30 13:36:53] hello
[2025-04-30 13:59:56] error_handler 2 - line 16 in E:\_special\WAMP64\www\001\Database.php: mysqli_connect(): php_network_getaddresses: getaddrinfo for 1 failed: No such host is known. 
[2025-04-30 13:59:56] error_handler 2 - line 14 in E:\_special\WAMP64\www\001\index.php: Undefined property: mysqli_sql_exception::$getLine
[2025-04-30 16:26:06] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:06] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:21] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:21] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:33] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:33] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:34] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:34] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:34] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:34] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:36] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:36] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:36] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:36] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:36] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:36] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:37] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:37] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:37] Bảng usersss đã tồn tại, không thể tạo mới
[2025-04-30 16:26:37] Cột us2e122112rsss trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:26:50] Bảng users đã tồn tại, không thể tạo mới
[2025-04-30 16:26:51] Bảng users đã tồn tại, không thể tạo mới
[2025-04-30 16:26:51] Cột name333 trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:27:00] Bảng users đã tồn tại, không thể tạo mới
[2025-04-30 16:27:05] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:27:06] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:27:06] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:29:47] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:29:47] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:51:51] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:51:51] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:52:14] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:52:14] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:52:55] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:52:55] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:53:38] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:53:38] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:53:55] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:53:55] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:53:55] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:53:55] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:53:55] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:53:55] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:53:55] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:53:55] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:54:39] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:54:39] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:54:44] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:54:44] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:54:53] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:54:53] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:55:06] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:55:06] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:55:34] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:55:34] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 16:55:36] Bảng usedrs đã tồn tại, không thể tạo mới
[2025-04-30 16:55:36] Cột convitbau trong users dã tồn tại, không thể tạo cột mới
[2025-04-30 17:21:45] Bảng usedrs đã tồn tại, không thể tạo mới
